areaFIPS,areaname,areaname2,Category,Subcategory,allchildren0to2,atleast1immigparent,allnativebornparents,lowincome,notlowincome,parpostsec,pareducHSless
11940,Athens, TN,Parental nativity,Only immigrant parents,0.064522162,0,0,0.098627783,0,0,0
11940,Athens, TN,Parental nativity,One immigrant and one native-born parent,0.006545722,0,0,0.007146895,0,0,0
11940,Athens, TN,Parental nativity,Only native-born parents,0.92893213,0,1,0.894225299,0,0.970028102,0
11940,Athens, TN,Parental nativity,At least one immigrant parent,0,0,0,0,0,0.029971898,0
11980,Athens, TX,Parental nativity,Only immigrant parents,0.146358222,0,0,0.231330469,0.049115896,0.046561297,0.261728406
11980,Athens, TX,Parental nativity,One immigrant and one native-born parent,0.081081077,0,0,0.100858368,0.058447938,0.055531822,0.110617287
11980,Athens, TX,Parental nativity,Only native-born parents,0.772560716,0,1,0.667811155,0.892436147,0.897906899,0.627654314
11980,Athens, TX,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
12020,Athens-Clarke County, GA,Parental nativity,Only immigrant parents,0.157420456,0,0,0.181804478,0.128130838,0.099390373,0.268688351
12020,Athens-Clarke County, GA,Parental nativity,One immigrant and one native-born parent,0.079476617,0,0,0.056058291,0.108397588,0.114518985,0.012285709
12020,Athens-Clarke County, GA,Parental nativity,Only native-born parents,0.763102949,0,1,0.762137234,0.763471544,0.786090612,0.71902591
12020,Athens-Clarke County, GA,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
12060,Atlanta-Sandy Springs-Roswell, GA,Parental nativity,Only immigrant parents,0.212625682,0.735188186,0,0.290470093,0.148087114,0.150631353,0.365880638
12060,Atlanta-Sandy Springs-Roswell, GA,Parental nativity,One immigrant and one native-born parent,0.076586917,0.264811844,0,0.056690063,0.093404427,0.08977595,0.043982577
12060,Atlanta-Sandy Springs-Roswell, GA,Parental nativity,Only native-born parents,0.710787416,0,1,0.652839839,0.758508444,0.759592712,0.590136766
12060,Atlanta-Sandy Springs-Roswell, GA,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
12100,Atlantic City-Hammonton, NJ,Parental nativity,Only immigrant parents,0.234450832,0.747834682,0,0.294255346,0.166225702,0.213355422,0.275090724
12100,Atlantic City-Hammonton, NJ,Parental nativity,One immigrant and one native-born parent,0.079055399,0.252165318,0,0.057486445,0.104037732,0.095862158,0.046677511
12100,Atlantic City-Hammonton, NJ,Parental nativity,Only native-born parents,0.686493754,0,1,0.648258209,0.729736567,0.690782428,0.678231776
12100,Atlantic City-Hammonton, NJ,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
12140,Auburn, IN,Parental nativity,Only immigrant parents,0.009402275,0,0,0.018306673,0,0.001285791,0.018277645
12140,Auburn, IN,Parental nativity,One immigrant and one native-born parent,0.028710544,0,0,0.029094476,0.028661307,0.026679525,0.030931458
12140,Auburn, IN,Parental nativity,Only native-born parents,0.961887181,0,1,0.95259887,0.971338689,0.972034693,0.950790882
12140,Auburn, IN,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
12180,Auburn, NY,Parental nativity,Only immigrant parents,0,0,0,0,0,0,0
12180,Auburn, NY,Parental nativity,One immigrant and one native-born parent,0,0,0,0,0,0,0
12180,Auburn, NY,Parental nativity,Only native-born parents,0.975689292,0,1,0.964332879,0.984682739,0.964942276,0
12180,Auburn, NY,Parental nativity,At least one immigrant parent,0.024310708,0,0,0.035667121,0.015317261,0.035057724,0
12260,Augusta-Richmond County, GA-SC,Parental nativity,Only immigrant parents,0.047535434,0,0,0.065973893,0.025770627,0.032770131,0.077084646
12260,Augusta-Richmond County, GA-SC,Parental nativity,One immigrant and one native-born parent,0.023464905,0,0,0.007497082,0.042615168,0.033117246,0.004148066
12260,Augusta-Richmond County, GA-SC,Parental nativity,Only native-born parents,0.928999662,0,1,0.92652905,0.93161422,0.934112608,0.918767273
12260,Augusta-Richmond County, GA-SC,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
12380,Austin, MN,Parental nativity,Only immigrant parents,0.13040629,0,0,0,0.043979812,0.049190342,0
12380,Austin, MN,Parental nativity,One immigrant and one native-born parent,0.052206203,0,0,0,0.063446283,0.073021695,0
12380,Austin, MN,Parental nativity,Only native-born parents,0.817387521,0,1,0,0.892573893,0.877787948,0
